Java
PHP
Python
.NET
C
C#
C++
Delphi
Erlang
GIS
Golang
mano
Node.js
Perl
Ruby
VB
架构师
全栈工程师
软件工程师
嵌入式软件开发
脚本开发
需求分析
配置管理
系统集成
云计算
语音/视频/图形开发
ERP技术/应用
研发经理
IT技术/研发总监
web前端
前端开发
HTML5
JavaScript
Android
iOS
APP设计
COCOS2DX
U3D
微信开发
小程序开发
小游戏开发
移动开发
硬件工程师
高级硬件工程师
硬件交互设计师
嵌入式硬件
单片机
ARM开发
DSP开发
FPGA开发
PCB工艺
PLC工程师
通信工程师
移动通信工程师
数据通信工程师
通信标准化工程师
通信电源工程师
射频工程师
室分设计工程师
无线电工程师
无线通信工程师
有线传输工程师
5G
核心网工程师
安防系统工程师
电信交换工程师
电信网络工程师
仿真应用工程师
光通信工程师
光传输工程师
光伏系统工程师
光网络工程师
激光/光电子技术
音频/视频工程师
转播工程师
机器视觉
机器学习
深度学习
自然语言处理（NLP）
算法工程师
搜索算法
推荐算法
图像算法
音视频算法
语音算法
导航算法
风控算法
机器人算法
数据研究员
智能驾驶工程师
BI
ETL工程师
Hadoop
爬虫
数据采集
数据仓库
数据分析师
数据架构师
数据开发
数据挖掘
电气工程师
电气线路设计
电气自动化工程师
自动化工程师
自动化设计工程师
电子工程设计
电子技术研发工程师
电子元器件工程师
电池/电源开发
电路工程师/技术员
线路结构设计
IC验证工程师
版图设计工程师
集成电路IC设计/应用工程师
模拟电路设计/应用工程师
半导体技术
变压器与磁电工程师
电控工程师
电声/音响工程师/技术员
电器研发
电子/电器工程师
电子/电器工艺/制程工程师
电子/电器设备工程师
家电/数码产品研发
空调工程/设计
