city,longitude,latitude,code
南通,120.873801,32.014665,070900
苏州,120.619907,31.317987,070300
宿迁,118.296893,33.95205,072000
泰州,119.919606,32.476053,071800
无锡,120.305456,31.570037,070400
徐州,117.188107,34.271553,071100
盐城,120.148872,33.379862,071300
扬州,119.427778,32.408505,070800
镇江,119.455835,32.204409,071000
南昌,115.893528,28.689578,130200
抚州,116.360919,27.954545,131100
赣州,114.935909,25.845296,130800
吉安,114.992039,27.113848,130900
景德镇,117.186523,29.303563,130400
九江,115.999848,29.71964,130300
萍乡,113.859917,27.639544,130500
上饶,117.955464,28.457623,131200
新余,114.947117,27.822322,130600
宜春,114.400039,27.81113,131000
鹰潭,117.03545,28.24131,130700
长春,125.313642,43.898338,240200
白城,122.840777,45.621086,241000
白山,126.435798,41.945859,240900
吉林,126.564544,43.871988,240300
辽源,125.133686,42.923303,240400
四平,124.391382,43.175525,240600
松原,124.832995,45.136049,240700
通化,125.94265,41.736397,240500
延边,129.485902,42.896414,241100
沈阳,123.432791,41.808645,230200
鞍山,123.007763,41.118744,230400
本溪,123.778062,41.325838,231000
朝阳,120.446163,41.571828,231400
大连,121.593478,38.94871,230300
丹东,124.338543,40.129023,230800
抚顺,123.92982,41.877304,230600
阜新,121.660822,42.01925,231500
葫芦岛,120.860758,40.74303,230900
锦州,121.147749,41.130879,230700
辽阳,123.172451,41.273339,231100
盘锦,122.073228,41.141248,231300
铁岭,123.85485,42.299757,231200
营口,122.233391,40.668651,230500
呼和浩特,111.660351,40.828319,280200
阿拉善盟,105.695683,38.843075,281500
包头,109.846239,40.647119,280400
巴彦淖尔,107.423807,40.76918,280900
赤峰,118.930761,42.297112,280300
鄂尔多斯,109.993706,39.81649,280800
呼伦贝尔,119.760822,49.201636,281100
通辽,122.260363,43.633756,280700
乌海,106.831999,39.683177,281000
乌兰察布,113.112846,41.022363,281200
锡林郭勒盟,116.02734,43.939705,281400
兴安盟,122.048167,46.083757,281300
银川,106.206479,38.502621,290200
固原,106.285268,36.021523,290600
石嘴山,106.379337,39.020223,290500
吴忠,106.208254,37.993561,290300
中卫,105.196754,37.521124,290400
西宁,101.767921,36.640739,320200
果洛,100.223723,34.480485,320800
海东,102.085207,36.51761,320300
海北,100.879802,36.960654,320500
海南,100.624066,36.284364,320700
海西,97.342625,37.373799,320400
黄南,102.0076,35.522852,320600
玉树,97.013316,33.00624,320900
济南,117.024967,36.682785,120200
滨州,117.968292,37.405314,121500
东营,118.583926,37.487121,121000
德州,116.328161,37.460826,121300
菏泽,115.46336,35.26244,121400
济宁,116.600798,35.402122,120900
莱芜区,117.684667,36.233654,120212
